ATTRBIUTE|DATA|DESCRIPTION
Acct-Session-Id|32-bit unsigned integer|Random value generated by the service controller.
NAS-Identifier|string|The NAS ID set on the Security > RADIUS > Add New Profile page for the profile being used.
NAS-Ip-Address|32-bit unsigned integer|The IP address of the port the service controller is using to communicate with the RADIUS server.
NAS-Port|32-bit unsigned integer|A virtual port number starting at 1. Assigned by the service controller.
NAS-Port-Type|32-bit unsigned integer|Always set to 19, which represents WIRELESS_802_11.
Calling-Station-Id|string|MAC address of the user’s station in IEEE format. For example: 00-02-03-5E-32-1A.
Called-Station-Id|string|This is set to the MAC address of the service controller’s wireless/LAN port in IEEE format. For example: 00-02-03-5E-32-1A. To use the MAC address of the Internet port, you must edit the config file and change the setting of radius-called-station-idport to WAN in the <ACCESS-CONTROLLER> section.
State|string|As defined in RFC 2865.
Framed-IP-Address|32-bit unsigned integer|IP Address as configured on the client station (if known to the service controller.
Framed-MTU|32-bit unsigned integer|Hard-coded value of 1496. The value is always four bytes lower than the wireless MTU maximum which is 1500 bytes in order to support IEEE802dot1x authentication.
Connect-Info|string|The string “HTTPS” or “IEEE802.1X”.
Service-Type|32-bit unsigned integer|RADIUS service type.
Message-Authenticator|string|As defined in RFC 2869. Always present even when not doing an EAP authentication. length = 16 bytes.
User-Name|string|The username assigned to the user or a device when using MAC authentication.
User-Password|string|The password supplied by a user or device when logging in. Encoded as defined in RFC 2865. Only present when the authentication method for the RADIUS profile as defined in RFC 2865. Only present when the authentication method for the RADIUS profile is set to PAP.
Colubris-AVPair||See “HP vendor-specific attributes” on page 48. The following attributes are mutually exclusive depending on the RADIUS authentication method.
CHAP-Password|string|The password assigned to the service controller on the Public access > Attributes page. Encoded as defined in RFC 2865. Only present when the authentication method for the RADIUS profile is set to CHAP.
CHAP-Challenge|string|Randomly generated by the product. As defined in RFC 2865. Only present when the authentication method for the RADIUS profile is set to CHAP. Length = 19 bytes.
MSCHAP-Challenge|string|As defined in RFC 2433. Only present when the authentication method for the RADIUS profile is set to MSCHAPv1 or MSCHAPv2. Length = 8 bytes.
MSCHAP-Response|string|As defined in RFC 2433. Only present when the authentication method for the RADIUS profile is set to MSCHAPv1. Length = 49 bytes.
MSCHAPv2-Response|string|As defined in RFC 2759. Only present when the authentication method for the RADIUS profile is set to MSCHAPv2. Length = 49 bytes.
EAP-Message|string|As defined in RFC 2869. Only present when the authentication method for the RADIUS profile is set to EAP-MD5.
Chargeable User Identity|string|As defined in RFC-4372. The CUI is used to associate a unique identifier with a user so that the user can be identified (for billing, authentication or other purposes when roaming outside of their home network.
Acct-Interim-Interval|32-bit unsigned integer|When present, it enables the transmission of RADIUS accounting requests of the Interim Update type. Specify the number of seconds between each transmission.
Session-Timeout|32-bit unsigned integer|Maximum time a session can be active. The user must re-authenticate when this timer expires. Omitting this attribute or specifying 0 disables the feature.
Idle-Timeout|32-bit unsigned integer|Maximum idle time in seconds allowed for the user. Once reached, the user session is terminated with termination-cause IDLE-TIMEOUT. Omitting the attribute or specifying 0 disables the feature.
Class|string|As defined in RFC 2865. Multiple instances are supported.
EAP-Message|string|Supported only when authentication is 802.1X or EAP-MD5. Note that the content will not be read as the RADIUS Access Accept is overriding whatever the indication is contained inside this packet.
MS-MPPE-Recv-Key||As defined by RFC 3078.
MS-MPPE-Send-Key||As defined by RFC 3078.
Termination-Action||As defined by RFC 2865. If set to 1, a new Access Request is sent. If an Access Accept is returned, the service controller then extends the user’s session timeout, and if applicable, session quotas according the value returned by the RADIUS server.
Colubris-AVPair||See “HP vendor-specific attributes” on page 48.
Tunnel-Type||Only used when assigning a specific VLAN number to a user. In this case it must be set to VLAN.
Tunnel-Medium-Type||Only used when assigning a specific VLAN number to a user. In this case it must be set to 802.
Tunnel-Private-Group-ID||Only used when assigning a specific VLAN number to a user. In this case it must be set to the VLAN ID.
Chargeable User Identity|string|As defined in RFC-4372. The CUI is used to authentication or other purposes when roaming outside of their home network.
MSCHAP-Error|string|A MSCHAP specific error as defined by RFC 2433.
Reply-Message|string|This string (as defined in RFC 2865 is recorded and passed as is to the GetRadiusReplyMessage( asp function. Multiple string are supported to a maximum length of 252 bytes.
EAP-Message|string|Only supported when authentication is EAP-MD5 or with IEEE802dot1x. Note that the content will not be read as the RADIUS Access Reject is overriding whatever indication contained inside this packet. As defined in RFC 2869.
EAP-Message|string|One or more occurrences of this attribute is supported inside the same packet. All occurrence are concatenate and transmitted to the IEEE802dot1x client as is. As defined in RFC 2869.
State|string|As defined in RFC 2865.
Acct-Session-Id|32-bit unsigned integer|Random value generated by the service controller.
NAS-Identifier|string|The NAS ID set on the Security > RADIUS > Add New Profile page for the profile being used.
NAS-Ip-Address|32-bit unsigned integer|The IP address of the port the service controller is using to communicate with the RADIUS server.
NAS-Port|32-bit unsigned integer|A virtual port number starting at 1. Assigned by the service controller.
NAS-Port-Type|32-bit unsigned integer|Always set to 19, which represents WIRELESS_802_11.
Calling-Station-Id|string|The MAC address of the user’s station in IEEE format. For example: 00-02-03-5E-32-1A.
Called-Station-Id|string|The MAC address of the service controller’s LAN port or the Aps downstream port if location-aware authentication is enabled.
Class|string|As defined in RFC 2865. Multiple instances are supported.
User-Name|string|The username assigned to the user or to a device when using MAC authentication.
Framed-IP-Address|32-bit unsigned integer|IP Address of the user’s station.
